02/10/2011, 25022701, 416 Dana St, http://www.zillow.com/homedetails/416-Dana-St-Fremont-CA-94539/25022701_zpid/, 665000, 1214041, 3, 2.0, 1550, 5022, 1953
08/08/2013, 25022702, 410 Dana St, http://www.zillow.com/homedetails/410-Dana-St-Fremont-CA-94539/25022702_zpid/, 840000, 1111819, 3, 1.0, 1008, 5022, 1953
None, 25022703, 404 Dana St, http://www.zillow.com/homedetails/404-Dana-St-Fremont-CA-94539/25022703_zpid/, None, 1088078, 3, 1.0, 1008, 5022, 1953
05/28/1999, 25022704, 360 Dana St, http://www.zillow.com/homedetails/360-Dana-St-Fremont-CA-94539/25022704_zpid/, 280000, 1944288, 5, 4.0, 3200, 5022, 2009
09/26/1995, 25022706, 348 Dana St, http://www.zillow.com/homedetails/348-Dana-St-Fremont-CA-94539/25022706_zpid/, 177000, 1944301, 6, 4.0, 3231, 5022, 2009
04/01/1999, 25022707, 342 Dana St, http://www.zillow.com/homedetails/342-Dana-St-Fremont-CA-94539/25022707_zpid/, 285000, 1089053, 3, 1.0, 1008, 5022, 1953
08/13/2009, 25022708, 336 Dana St, http://www.zillow.com/homedetails/336-Dana-St-Fremont-CA-94539/25022708_zpid/, 660000, 1920680, 4, 4.0, 3248, 5022, 2014
12/22/2000, 25022709, 330 Dana St, http://www.zillow.com/homedetails/330-Dana-St-Fremont-CA-94539/25022709_zpid/, 462000, 1087814, 3, 1.0, 1064, 5022, 1953
03/21/2001, 25022710, 324 Dana St, http://www.zillow.com/homedetails/324-Dana-St-Fremont-CA-94539/25022710_zpid/, 475000, 1083047, 3, 1.0, 1008, 5022, 1953
None, 25022711, 318 Dana St, http://www.zillow.com/homedetails/318-Dana-St-Fremont-CA-94539/25022711_zpid/, None, 1086414, 3, 1.0, 1008, 5022, 1953
08/26/2003, 25022712, 312 Dana St, http://www.zillow.com/homedetails/312-Dana-St-Fremont-CA-94539/25022712_zpid/, 600000, 1301375, 4, 2.0, 1728, 5022, 1953
10/31/2007, 25022713, 306 Dana St, http://www.zillow.com/homedetails/306-Dana-St-Fremont-CA-94539/25022713_zpid/, 900000, 1342964, 34, 2.0, 1728, 5022, 1953
11/22/2011, 25022714, 300 Dana St, http://www.zillow.com/homedetails/300-Dana-St-Fremont-CA-94539/25022714_zpid/, 1200000, 1871884, 5, 3.5, 3100, 5859, 2008
04/15/2011, 25022716, 301 Lemarc St, http://www.zillow.com/homedetails/301-Lemarc-St-Fremont-CA-94539/25022716_zpid/, 634000, 1092199, 3, 1.0, 1215, 5022, 1953
None, 25022717, 307 Lemarc St, http://www.zillow.com/homedetails/307-Lemarc-St-Fremont-CA-94539/25022717_zpid/, None, 1086898, 3, 1.0, 951, 5022, 1953
None, 25022718, 313 Lemarc St, http://www.zillow.com/homedetails/313-Lemarc-St-Fremont-CA-94539/25022718_zpid/, None, 1268207, 3, 1.0, 1671, 5022, 1953
01/29/1987, 25022719, 317 Lemarc St, http://www.zillow.com/homedetails/317-Lemarc-St-Fremont-CA-94539/25022719_zpid/, 66000, 1087742, 3, 1.0, 951, 5022, 1953
07/01/2011, 25022720, 325 Lemarc St, http://www.zillow.com/homedetails/325-Lemarc-St-Fremont-CA-94539/25022720_zpid/, 665000, 1103919, 3, 1.0, 1119, 5022, 1953
None, 25022721, 331 Lemarc St, http://www.zillow.com/homedetails/331-Lemarc-St-Fremont-CA-94539/25022721_zpid/, None, 1392684, 3, 3.0, 1868, 5022, 1953
None, 25022722, 343 Lemarc St, http://www.zillow.com/homedetails/343-Lemarc-St-Fremont-CA-94539/25022722_zpid/, None, 1204553, 4, 2.0, 1362, 5022, 1953
None, 25022723, 349 Lemarc St, http://www.zillow.com/homedetails/349-Lemarc-St-Fremont-CA-94539/25022723_zpid/, None, 1085536, 3, 1.0, 951, 5022, 1953
07/27/2000, 25022724, 355 Lemarc St, http://www.zillow.com/homedetails/355-Lemarc-St-Fremont-CA-94539/25022724_zpid/, 385000, 1089061, 3, 1.0, 951, 5022, 1953
04/22/2011, 25022725, 401 Lemarc St, http://www.zillow.com/homedetails/401-Lemarc-St-Fremont-CA-94539/25022725_zpid/, 780000, 1188212, 3, None, 1376, 5227, 1953
None, 25022726, 407 Lemarc St, http://www.zillow.com/homedetails/407-Lemarc-St-Fremont-CA-94539/25022726_zpid/, None, 1151159, 3, 2.0, 1363, 5022, 1953
03/16/2007, 25022727, 413 Lemarc St, http://www.zillow.com/homedetails/413-Lemarc-St-Fremont-CA-94539/25022727_zpid/, 860000, 1195075, 4, 1.0, 1167, 5022, 1953
05/04/2000, 25022728, 419 Lemarc St, http://www.zillow.com/homedetails/419-Lemarc-St-Fremont-CA-94539/25022728_zpid/, 385000, 1087496, 3, 1.0, 951, 5022, 1953
10/10/2003, 25022731, 420 Lemarc St, http://www.zillow.com/homedetails/420-Lemarc-St-Fremont-CA-94539/25022731_zpid/, 491500, 983005, 3, 1.0, 951, 5022, 1953
02/11/1997, 25022732, 414 Lemarc St, http://www.zillow.com/homedetails/414-Lemarc-St-Fremont-CA-94539/25022732_zpid/, 225000, 1234130, 3, 2.0, 1434, 5022, 1953
09/28/2011, 25022733, 408 Lemarc St, http://www.zillow.com/homedetails/408-Lemarc-St-Fremont-CA-94539/25022733_zpid/, 656000, 1092669, 3, 1.0, 951, 5021, 1953
05/11/1999, 25022734, 402 Lemarc St, http://www.zillow.com/homedetails/402-Lemarc-St-Fremont-CA-94539/25022734_zpid/, 297000, 1377097, 5, 3.0, 1684, 5022, 1953
08/14/2009, 25022735, 356 Lemarc St, http://www.zillow.com/homedetails/356-Lemarc-St-Fremont-CA-94539/25022735_zpid/, 1305500, 1617909, 4, 3.0, 2812, 5022, 1953
11/22/2016, 25022736, 350 Lemarc St, http://www.zillow.com/homedetails/350-Lemarc-St-Fremont-CA-94539/25022736_zpid/, 991000, 1078475, 3, 1.0, 951, 5227, 1953
None, 25022737, 344 Lemarc St, http://www.zillow.com/homedetails/344-Lemarc-St-Fremont-CA-94539/25022737_zpid/, None, 1085033, 3, 1.0, 951, 5022, 1953
None, 25022738, 338 Lemarc St, http://www.zillow.com/homedetails/338-Lemarc-St-Fremont-CA-94539/25022738_zpid/, None, 1085127, 3, 1.0, 951, 5022, 1953
01/09/2009, 25022739, 332 Lemarc St, http://www.zillow.com/homedetails/332-Lemarc-St-Fremont-CA-94539/25022739_zpid/, 655000, 1176469, 3, 1.0, 951, 5022, 1953
06/17/2005, 25022740, 326 Lemarc St, http://www.zillow.com/homedetails/326-Lemarc-St-Fremont-CA-94539/25022740_zpid/, 701000, 1051515, 3, 1.0, 951, 5022, 1953
